from,to,action,p(s),frequency
0,0,1,0.8888888888888888,8
0,3,4,0.1111111111111111,1
1,1,7,0.38095238095238093,8
1,1,3,0.09523809523809523,2
1,1,9,0.09523809523809523,2
1,5,3,0.09523809523809523,2
1,68,3,0.09523809523809523,2
1,8,7,0.047619047619047616,1
1,202,7,0.047619047619047616,1
1,290,7,0.047619047619047616,1
1,94,3,0.047619047619047616,1
1,69,7,0.047619047619047616,1
2,7,7,0.023809523809523808,1
2,7,3,0.023809523809523808,1
2,48,6,0.047619047619047616,2
2,2,6,0.14285714285714285,6
2,2,4,0.09523809523809523,4
2,2,5,0.30952380952380953,13
2,10,5,0.047619047619047616,2
2,10,4,0.023809523809523808,1
2,100,4,0.023809523809523808,1
2,38,5,0.07142857142857142,3
2,179,6,0.023809523809523808,1
2,179,4,0.023809523809523808,1
2,118,6,0.023809523809523808,1
2,5,3,0.023809523809523808,1
2,9,4,0.023809523809523808,1
2,53,6,0.023809523809523808,1
2,4,4,0.023809523809523808,1
2,37,8,0.023809523809523808,1
3,2,4,0.5,1
3,2,6,0.5,1
4,4,6,0.34671848013816925,1606
4,4,5,0.2705094991364421,1253
4,4,4,0.21610535405872194,1001
4,9,6,0.034974093264248704,162
4,9,5,0.025690846286701208,119
4,9,4,0.01575993091537133,73
4,12,6,0.0004317789291882556,2
4,6,9,0.01079447322970639,50
4,6,3,0.007340241796200345,34
4,6,7,0.0025906735751295338,12
4,20,5,0.004317789291882556,20
4,20,4,0.0015112262521588947,7
4,20,6,0.0030224525043177895,14
4,43,2,0.007987910189982728,37
4,43,8,0.0045336787564766836,21
4,43,10,0.006692573402417962,31
4,53,6,0.0030224525043177895,14
4,53,4,0.0012953367875647669,6
4,53,5,0.0036701208981001726,17
4,86,6,0.0025906735751295338,12
4,86,4,0.0017271157167530224,8
4,86,5,0.0034542314335060447,16
4,89,5,0.001079447322970639,5
4,89,6,0.0015112262521588947,7
4,89,4,0.0008635578583765112,4
4,8,3,0.0002158894645941278,1
4,8,9,0.0002158894645941278,1
4,100,4,0.0006476683937823834,3
4,100,6,0.0002158894645941278,1
4,34,3,0.0006476683937823834,3
4,34,9,0.001079447322970639,5
4,162,5,0.0004317789291882556,2
4,162,6,0.0004317789291882556,2
4,170,4,0.0004317789291882556,2
4,170,5,0.0002158894645941278,1
4,101,5,0.0030224525043177895,14
4,101,6,0.0004317789291882556,2
4,101,4,0.0002158894645941278,1
4,14,5,0.0019430051813471502,9
4,14,6,0.0028065630397236616,13
4,14,4,0.0006476683937823834,3
4,138,10,0.0002158894645941278,1
4,226,5,0.0002158894645941278,1
4,71,2,0.0006476683937823834,3
4,71,8,0.0002158894645941278,1
4,71,10,0.0002158894645941278,1
4,10,6,0.0004317789291882556,2
4,10,5,0.0002158894645941278,1
4,10,4,0.0002158894645941278,1
4,292,6,0.0002158894645941278,1
4,292,4,0.0002158894645941278,1
4,289,6,0.0002158894645941278,1
4,155,6,0.0008635578583765112,4
4,160,9,0.0004317789291882556,2
4,160,7,0.0002158894645941278,1
4,160,3,0.0002158894645941278,1
4,318,8,0.0004317789291882556,2
4,84,5,0.0008635578583765112,4
4,161,5,0.0004317789291882556,2
4,65,10,0.0004317789291882556,2
4,7,9,0.0002158894645941278,1
4,5,9,0.0002158894645941278,1
4,109,2,0.0002158894645941278,1
4,106,8,0.0002158894645941278,1
4,534,4,0.0002158894645941278,1
4,98,6,0.0002158894645941278,1
5,8,7,0.023622047244094488,3
5,8,9,0.023622047244094488,3
5,8,3,0.023622047244094488,3
5,5,9,0.2047244094488189,26
5,5,3,0.11023622047244094,14
5,5,7,0.2992125984251969,38
5,1,7,0.023622047244094488,3
5,6,3,0.007874015748031496,1
5,94,3,0.023622047244094488,3
5,94,7,0.031496062992125984,4
5,94,9,0.007874015748031496,1
5,20,6,0.007874015748031496,1
5,20,4,0.007874015748031496,1
5,10,6,0.03937007874015748,5
5,10,4,0.023622047244094488,3
5,10,5,0.007874015748031496,1
5,193,10,0.007874015748031496,1
5,34,3,0.007874015748031496,1
5,34,9,0.023622047244094488,3
5,34,7,0.031496062992125984,4
5,222,3,0.015748031496062992,2
5,202,3,0.007874015748031496,1
5,9,4,0.007874015748031496,1
5,9,6,0.007874015748031496,1
5,133,8,0.007874015748031496,1
5,432,7,0.007874015748031496,1
5,309,9,0.007874015748031496,1
6,8,3,0.003076923076923077,2
6,8,9,0.009230769230769232,6
6,8,7,0.004615384615384616,3
6,6,3,0.2876923076923077,187
6,6,9,0.2123076923076923,138
6,6,7,0.2230769230769231,145
6,4,5,0.036923076923076927,24
6,4,6,0.05076923076923077,33
6,4,4,0.06923076923076923,45
6,34,9,0.012307692307692308,8
6,34,3,0.012307692307692308,8
6,34,7,0.010769230769230769,7
6,116,9,0.0015384615384615385,1
6,116,3,0.0015384615384615385,1
6,135,3,0.004615384615384616,3
6,135,7,0.007692307692307693,5
6,135,9,0.004615384615384616,3
6,44,9,0.007692307692307693,5
6,44,3,0.0015384615384615385,1
6,12,6,0.0015384615384615385,1
6,160,9,0.004615384615384616,3
6,160,3,0.004615384615384616,3
6,160,7,0.003076923076923077,2
6,69,9,0.0015384615384615385,1
6,69,3,0.003076923076923077,2
6,167,9,0.0015384615384615385,1
6,436,1,0.0015384615384615385,1
6,436,3,0.006153846153846154,4
6,9,4,0.004615384615384616,3
6,465,3,0.0015384615384615385,1
6,14,4,0.0015384615384615385,1
6,101,6,0.0015384615384615385,1
6,53,5,0.0015384615384615385,1
7,7,7,0.4444444444444444,12
7,7,9,0.07407407407407407,2
7,7,3,0.1111111111111111,3
7,5,7,0.1111111111111111,3
7,38,5,0.037037037037037035,1
7,2,6,0.037037037037037035,1
7,218,3,0.037037037037037035,1
7,42,3,0.037037037037037035,1
7,42,7,0.037037037037037035,1
7,42,9,0.037037037037037035,1
7,159,7,0.037037037037037035,1
8,6,7,0.07272727272727272,8
