id,value,p(s),frequency
0,LanePosition(ALIGNED) NextIntersection(RIGHT) Velocity(STOPPED) Rotation(FORWARD) StopAreaNearby(TURN_STOP) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.0002698569758028245,9
1,LanePosition(CENTER) NextIntersection(NONE) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.0006296662768732571,21
2,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(TURN_STOP) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.0013193007705915864,44
3,LanePosition(ALIGNED) NextIntersection(RIGHT) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(TURN_STOP) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),5.996821684507211e-05,2
4,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(NO) FrontObjects(NO),0.14566279871668017,4858
5,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.00395790231177476,132
6,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(NO) FrontObjects(NO),0.020509130161014664,684
7,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(TURN_STOP) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.0008695391442535456,29
8,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(NO),0.0035681089022817905,119
9,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(NO) FrontObjects(YES),0.07549998500794579,2518
10,LanePosition(ALIGNED) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(YES) IsTrafficLightNearby(NO) FrontObjects(YES),0.008425534466732632,281
11,LanePosition(ALIGNED) NextIntersection(STRAIGHT) Velocity(STOPPED) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(YES) FrontObjects(YES),0.0008095709274084735,27
12,LanePosition(CENTER) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(NO) FrontObjects(YES),0.005037330214986057,168
13,LanePosition(ALIGNED) NextIntersection(STRAIGHT) Velocity(STOPPED) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(YES) FrontObjects(YES),0.0002698569758028245,9
14,LanePosition(CENTER) NextIntersection(NONE) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(NO) FrontObjects(NO),0.006626487961380469,221
15,LanePosition(ALIGNED) NextIntersection(STRAIGHT) Velocity(MOVING) Rotation(FORWARD) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(YES) FrontObjects(YES),0.00410782285388744,137
16,LanePosition(ALIGNED) NextIntersection(STRAIGHT) Velocity(MOVING) Rotation(RIGHT) StopAreaNearby(NO) IsZebraNearby(NO) IsTrafficLightNearby(YES) FrontObjects(YES),0.0002698569758028245,9
