from,to,action,p(s),frequency
0,14,4,0.5,1
0,14,6,0.5,1
1,8,7,1.0,1
2,2,1,0.75,3
2,0,4,0.25,1
3,4,7,0.022222222222222223,2
3,4,9,0.022222222222222223,2
3,4,3,0.011111111111111112,1
3,289,3,0.03333333333333333,3
3,289,7,0.044444444444444446,4
3,3,7,0.3,27
3,3,9,0.15555555555555556,14
3,3,3,0.1111111111111111,10
3,37,6,0.011111111111111112,1
3,37,4,0.011111111111111112,1
3,18,3,0.011111111111111112,1
3,18,7,0.011111111111111112,1
3,441,10,0.011111111111111112,1
3,15,9,0.011111111111111112,1
3,249,7,0.022222222222222223,2
3,80,9,0.022222222222222223,2
3,139,3,0.022222222222222223,2
3,20,6,0.011111111111111112,1
3,20,4,0.03333333333333333,3
3,453,3,0.011111111111111112,1
3,30,4,0.011111111111111112,1
3,889,3,0.011111111111111112,1
3,273,8,0.011111111111111112,1
3,203,7,0.011111111111111112,1
3,939,7,0.022222222222222223,2
3,938,6,0.011111111111111112,1
3,1235,7,0.011111111111111112,1
3,802,9,0.011111111111111112,1
3,1660,9,0.011111111111111112,1
4,7,7,0.0547945205479452,4
4,7,3,0.0547945205479452,4
4,4,3,0.0821917808219178,6
4,4,7,0.1780821917808219,13
4,4,9,0.1643835616438356,12
4,15,3,0.0136986301369863,1
4,16,7,0.0410958904109589,3
4,3,9,0.0273972602739726,2
4,3,7,0.0410958904109589,3
4,3,3,0.0136986301369863,1
4,37,5,0.0273972602739726,2
4,37,4,0.0273972602739726,2
4,37,6,0.0273972602739726,2
4,454,3,0.0136986301369863,1
4,454,7,0.0136986301369863,1
4,290,9,0.0136986301369863,1
4,290,7,0.0410958904109589,3
4,138,10,0.0136986301369863,1
4,257,5,0.0136986301369863,1
4,708,4,0.0136986301369863,1
4,991,3,0.0136986301369863,1
4,53,6,0.0136986301369863,1
4,762,9,0.0136986301369863,1
4,762,7,0.0273972602739726,2
4,1501,7,0.0136986301369863,1
4,105,7,0.0136986301369863,1
4,105,3,0.0136986301369863,1
4,139,9,0.0136986301369863,1
5,5,5,0.29865125240847784,155
5,5,6,0.22928709055876687,119
5,5,4,0.11368015414258188,59
5,12,5,0.05202312138728324,27
5,12,6,0.017341040462427744,9
5,12,4,0.01348747591522158,7
5,6,6,0.06358381502890173,33
5,6,5,0.06358381502890173,33
5,6,4,0.02119460500963391,11
5,13,4,0.0038535645472061657,2
5,13,6,0.01348747591522158,7
5,13,5,0.0038535645472061657,2
5,282,5,0.0038535645472061657,2
5,282,4,0.0019267822736030828,1
5,282,6,0.0019267822736030828,1
5,354,5,0.025048169556840076,13
5,354,6,0.005780346820809248,3
5,354,4,0.007707129094412331,4
5,200,4,0.0019267822736030828,1
